"","LiBlock","COM_WBSM_AncSPLRada_UBSM_AncSPLRada","WBSM_AncSPLRada","UBSM_AncSPLRada","bio_embedding_intrinsic","BlockDistance","bioc_skipgram_defaultchar_Min","bio_embedding_extrinsic","Sent2vec_BioSentVec_PubMed_MIMICIII.bigram_d700","PubMed_SkipGramNegSampling","Jaccard","bioconceptvec_word2vec_skipgram","PubMed.and.PMC.w2v","Qgram","PubMed_CBOW","bioconceptvec_word2vec_cbow","PubMed_Glove","BioNLP2016_PubMed.shuffle.win.30","scibert_scivocab_uncased_tok.wordpiecetokenizer_lc_sw.nltk2018stopwords_cf.biosses_ner.none","bioconceptvec_glove","UBSM_AncSPLCosineNormWeightedJiangConrath","WBSM_AncSPLCosineNormWeightedJiangConrath","UBSM_AncSPLWeightedJiangConrath","biobert_v1.1_pubmed_tok.wordpiecetokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none","BioNLP2016_PubMed.shuffle.win.2","ncbi_bert_pubmed_mimic_uncased_l.12_h.768_a.12_tok.wordpiecetokenizer_lc_sw.biosses2017stopwords_cf.biosses_ner.none","oubiobert.base.uncased_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.default_ner.none","OverlapCoefficient","biobert_large_v1.1_pubmed_tok.wordpiecetokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none","USE","pubmedbert.base.uncased.abstract.fulltext_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.default_ner.none","UBSM_AncSPLCaiStrategy1","UBSM_JiangConrath","ncbi_bert_pubmed_uncased_l.12_h.768_a.12_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.blagec2019_ner.none","ncbi_bert_pubmed_mimic_uncased_l.24_h.1024_a.16_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none","biobert_v1.0_pmc_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none","ncbi_bert_pubmed_uncased_l.24_h.1024_a.16_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none","WBSM_AncSPLWeightedJiangConrath","WBSM_JiangConrath","biobert_v1.0_pubmed_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none","Levenshtein","biobert_v1.0_pubmed_pmc_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none","WBSM_AncSPLCaiStrategy1","bio.clinicalbert_tok.wordpiecetokenizer_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none","clinicalbert_tok.wordpiecetokenizer_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none","dischargesummarybert_tok.wordpiecetokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none","pubmedbert.base.uncased.abstract_tok.wordpiecetokenizer_lc_sw.nltk2018stopwords_cf.default_ner.none","bio.dischargesummarybert_tok.wordpiecetokenizer_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none","bioconceptvec_fasttext","Flair"
"BioNLP2016_PubMed.shuffle.win.2",0,0,0,0,0,0,0.001,0,0,0,0.001,0,0.002,0.003,0.005,0.008,0.008,0,0.096,0.108,0.091,0.172,0.164,0.22,NA,0.229,0.171,0.184,0.192,0.122,0.087,0.142,0.117,0.036,0.092,0.043,0.015,0.028,0.028,0.022,0.011,0.01,0.012,0.022,0.008,0.008,0,0.004,0,0.061
"ncbi_bert_pubmed_mimic_uncased_l.12_h.768_a.12_tok.wordpiecetokenizer_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.001,0,0,0.001,0.002,0.007,0.006,0.002,0.013,0.013,0.017,0.011,0.014,0.027,0.015,0.015,0.019,0.116,0.026,0.071,0.133,0.103,0.134,0.181,0.229,NA,0.23,0.229,0.157,0.173,0.154,0.114,0.077,0.081,0.005,0.041,0.039,0.001,0.001,0.007,0,0.012,0,0,0,0,0,0,0,0.238
"oubiobert.base.uncased_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0.001,0.023,0.024,0.079,0.024,0.115,0.072,0.133,0.171,0.23,NA,0.232,0.224,0.145,0.101,0.159,0.126,0.023,0.083,0.013,0.003,0.023,0.023,0.011,0.008,0.002,0.007,0.021,0.006,0.006,0,0.003,0,0.07
"OverlapCoefficient",0,0,0,0,0,0,0.001,0.002,0.001,0.001,0,0.002,0.004,0.005,0.016,0.027,0.018,0.037,0.103,0.115,0.065,0.157,0.135,0.182,0.184,0.229,0.232,NA,0.247,0.212,0.209,0.208,0.186,0.094,0.146,0.083,0.042,0.084,0.084,0.059,0.057,0.022,0.044,0.064,0.036,0.034,0.006,0.023,0,0.025
"biobert_large_v1.1_pubmed_tok.wordpiecetokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0,0,0,0,0.001,0.003,0.002,0.001,0.004,0.004,0.008,0.005,0.006,0.014,0.007,0.01,0.008,0.086,0.006,0.058,0.097,0.077,0.071,0.101,0.192,0.157,0.224,0.247,NA,0.215,0.195,0.164,0.117,0.09,0.039,0.04,0.04,0.007,0.007,0.008,0.003,0.009,0.001,0.001,0,0,0,0,0,0.215
"USE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0.02,0.013,0.044,0.025,0.08,0.039,0.062,0.122,0.173,0.145,0.212,0.215,NA,0.227,0.22,0.18,0.065,0.111,0.031,0.013,0.038,0.038,0.013,0.01,0.005,0.011,0.024,0.007,0.007,0,0.004,0,0.09
"pubmedbert.base.uncased.abstract.fulltext_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.default_ner.none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.002,0.033,0.009,0.038,0.017,0.052,0.087,0.154,0.101,0.209,0.195,0.227,NA,0.23,0.179,0.088,0.111,0.05,0.024,0.017,0.017,0.024,0.004,0.008,0.004,0.016,0.003,0.003,0,0.001,0,0.12
"UBSM_AncSPLCaiStrategy1",0,0,0,0,0,0.001,0.001,0,0.002,0.002,0.002,0.002,0.002,0.004,0.001,0.001,0.001,0.056,0.003,0.028,0.038,0.008,0.002,0.083,0.142,0.114,0.159,0.208,0.164,0.22,0.23,NA,0.034,0.133,0.097,0.073,0.063,0.003,0.003,0.027,0.005,0.011,0,0.008,0.001,0.001,0,0,0,0.175
"UBSM_JiangConrath",0,0,0,0,0,0.001,0.001,0,0.001,0.002,0.001,0.002,0.001,0.003,0.001,0.001,0.001,0.045,0.001,0.017,0.029,0.003,0.001,0.061,0.117,0.077,0.126,0.186,0.117,0.18,0.179,0.034,NA,0.163,0.13,0.105,0.086,0.004,0.004,0.043,0.007,0.021,0,0.009,0.001,0.001,0,0,0,0.185
"ncbi_bert_pubmed_uncased_l.12_h.768_a.12_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.blagec2019_ner.none",0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0.005,0.007,0.022,0.007,0.033,0.017,0.017,0.036,0.081,0.023,0.094,0.09,0.065,0.088,0.133,0.163,NA,0.248,0.169,0.035,0.139,0.139,0.05,0.086,0.011,0.056,0.078,0.034,0.032,0.003,0.016,0,0.071
"ncbi_bert_pubmed_mimic_uncased_l.24_h.1024_a.16_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0,0,0,0,0,0.002,0.001,0,0.003,0.003,0.004,0.002,0.003,0.007,0.002,0.002,0.003,0.042,0.002,0.016,0.033,0.013,0.021,0.029,0.092,0.005,0.083,0.146,0.039,0.111,0.111,0.097,0.13,0.248,NA,0.201,0.155,0.079,0.079,0.087,0.049,0.066,0.006,0.015,0.002,0.002,0.002,0.001,0,0.266
"biobert_v1.0_pmc_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.011,0.001,0.016,0.004,0.016,0.003,0.005,0.043,0.041,0.013,0.083,0.04,0.031,0.05,0.073,0.105,0.169,0.201,NA,0.114,0.16,0.16,0.074,0.093,0.007,0.053,0.08,0.03,0.029,0.003,0.012,0,0.129
"ncbi_bert_pubmed_uncased_l.24_h.1024_a.16_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.011,0.001,0.014,0.004,0.004,0.015,0.039,0.003,0.042,0.04,0.013,0.024,0.063,0.086,0.035,0.155,0.114,NA,0.22,0.22,0.183,0.153,0.06,0.097,0.12,0.06,0.054,0.005,0.029,0,0.098
"WBSM_AncSPLWeightedJiangConrath",0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0,0.012,0,0.002,0.005,0,0.001,0.008,0.028,0.001,0.023,0.084,0.007,0.038,0.017,0.003,0.004,0.139,0.079,0.16,0.22,NA,NA,0.238,0.118,0.161,0,0.048,0.004,0.003,0.002,0.001,0,0.24
"WBSM_JiangConrath",0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0.001,0,0,0,0.012,0,0.002,0.005,0,0.001,0.008,0.028,0.001,0.023,0.084,0.007,0.038,0.017,0.003,0.004,0.139,0.079,0.16,0.22,NA,NA,0.238,0.118,0.161,0,0.048,0.004,0.003,0.002,0.001,0,0.24
"biobert_v1.0_pubmed_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.007,0,0.003,0.005,0.004,0.002,0.001,0.022,0.007,0.011,0.059,0.008,0.013,0.024,0.027,0.043,0.05,0.087,0.074,0.183,0.238,0.238,NA,0.173,0.1,0.098,0.115,0.045,0.04,0.006,0.015,0,0.194
"Levenshtein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0.003,0,0.001,0.001,0.011,0,0.008,0.057,0.003,0.01,0.004,0.005,0.007,0.086,0.049,0.093,0.153,0.118,0.118,0.173,NA,0.236,0.097,0.119,0.024,0.018,0.012,0.004,0,0.251
"biobert_v1.0_pubmed_pmc_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.004,0,0.002,0,0.001,0.01,0.012,0.002,0.022,0.009,0.005,0.008,0.011,0.021,0.011,0.066,0.007,0.06,0.161,0.161,0.1,0.236,NA,0.174,0.187,0.109,0.093,0.016,0.046,0,0.136
"WBSM_AncSPLCaiStrategy1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.006,0,0.001,0.002,0,0,0.002,0.012,0,0.007,0.044,0.001,0.011,0.004,0,0,0.056,0.006,0.053,0.097,0,0,0.098,0.097,0.174,NA,0.235,0.065,0.041,0.03,0.01,0,0.275
"bio.clinicalbert_tok.wordpiecetokenizer_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0,0,0,0,0,0.001,0.001,0,0.001,0.001,0.002,0.001,0.001,0.003,0.001,0,0.001,0.012,0,0.001,0.01,0.001,0.004,0.005,0.022,0,0.021,0.064,0.001,0.024,0.016,0.008,0.009,0.078,0.015,0.08,0.12,0.048,0.048,0.115,0.119,0.187,0.235,NA,0.035,0.006,0.054,0.001,0,0.344
"clinicalbert_tok.wordpiecetokenizer_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.004,0,0,0.003,0,0.001,0.001,0.008,0,0.006,0.036,0,0.007,0.003,0.001,0.001,0.034,0.002,0.03,0.06,0.004,0.004,0.045,0.024,0.109,0.065,0.035,NA,0.058,0.087,0.006,0,0.326
"dischargesummarybert_tok.wordpiecetokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0.004,0,0,0.003,0,0.001,0.001,0.008,0,0.006,0.034,0,0.007,0.003,0.001,0.001,0.032,0.002,0.029,0.054,0.003,0.003,0.04,0.018,0.093,0.041,0.006,0.058,NA,0.134,0.008,0,0.336
"pubmedbert.base.uncased.abstract_tok.wordpiecetokenizer_lc_sw.nltk2018stopwords_cf.default_ner.none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0.003,0.002,0.003,0.005,0.002,0.002,0.006,0.012,0.016,0.03,0.054,0.087,0.134,NA,0.244,0,0.287
"bio.dischargesummarybert_tok.wordpiecetokenizer_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.001,0,0,0,0.004,0,0.003,0.023,0,0.004,0.001,0,0,0.016,0.001,0.012,0.029,0.001,0.001,0.015,0.004,0.046,0.01,0.001,0.006,0.008,0.244,NA,0,0.346
"bioconceptvec_fasttext",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.409
"Flair",0.027,0.033,0.039,0.032,0.038,0.024,0.028,0.051,0.025,0.022,0.03,0.039,0.047,0.038,0.07,0.092,0.069,0.035,0.124,0.148,0.064,0.161,0.107,0.109,0.061,0.238,0.07,0.025,0.215,0.09,0.12,0.175,0.185,0.071,0.266,0.129,0.098,0.24,0.24,0.194,0.251,0.136,0.275,0.344,0.326,0.336,0.287,0.346,0.409,NA
