"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Max",0.822,0.794,0.808,0.753,0.668,0.708,0.762,0.724,0.743,0.753
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Max",0.797,0.766,0.781,0.76,0.681,0.718,0.762,0.724,0.743,0.747
"X.SW...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.755,0.737,0.746,0.76,0.692,0.724,0.758,0.729,0.743,0.738
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.755,0.737,0.746,0.76,0.692,0.724,0.758,0.729,0.743,0.738
"X.TOK...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.755,0.737,0.746,0.76,0.692,0.724,0.758,0.729,0.743,0.738
"X.LC...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.755,0.737,0.746,0.76,0.692,0.724,0.758,0.729,0.743,0.738
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none_Min",0.782,0.741,0.761,0.688,0.644,0.665,0.773,0.742,0.757,0.728
"X.TOK...bio_embedding_intrinsic__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Min",0.756,0.74,0.748,0.705,0.676,0.69,0.758,0.729,0.743,0.727
"X.SW...bio_embedding_intrinsic__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Min",0.72,0.712,0.716,0.755,0.687,0.72,0.752,0.733,0.742,0.726
"X.SW...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.721,0.726,0.723,0.755,0.672,0.711,0.759,0.727,0.743,0.726
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.721,0.726,0.723,0.755,0.672,0.711,0.759,0.727,0.743,0.726
"X.TOK...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.721,0.726,0.723,0.755,0.672,0.711,0.759,0.727,0.743,0.726
"X.LC...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.721,0.726,0.723,0.755,0.672,0.711,0.759,0.727,0.743,0.726
"X.SW...bio_embedding_intrinsic__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Min",0.72,0.714,0.717,0.754,0.687,0.719,0.75,0.728,0.739,0.725
"X.SW...bio_embedding_intrinsic__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Max",0.69,0.712,0.701,0.749,0.671,0.707,0.75,0.722,0.736,0.715
"X.SW...bio_embedding_intrinsic__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Max",0.692,0.715,0.703,0.747,0.669,0.706,0.749,0.719,0.734,0.714
"X.SW...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Average",0.683,0.659,0.671,0.752,0.65,0.697,0.743,0.803,0.772,0.713
"X.SW...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Sum",0.683,0.659,0.671,0.752,0.65,0.697,0.743,0.803,0.772,0.713
"X.TOK...bio_embedding_intrinsic__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Max",0.717,0.721,0.719,0.695,0.656,0.675,0.759,0.727,0.743,0.712
"X.SW...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Average",0.678,0.653,0.666,0.752,0.65,0.697,0.742,0.804,0.772,0.712
"X.SW...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Sum",0.678,0.653,0.666,0.752,0.65,0.697,0.742,0.804,0.772,0.712
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none_Max",0.748,0.704,0.726,0.674,0.621,0.646,0.774,0.74,0.757,0.709
"X.SW...bio_embedding_intrinsic__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Average",0.661,0.679,0.67,0.76,0.667,0.711,0.703,0.75,0.725,0.702
"X.SW...bio_embedding_intrinsic__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Sum",0.661,0.679,0.67,0.76,0.667,0.711,0.703,0.75,0.725,0.702
"X.SW...bio_embedding_intrinsic__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Average",0.663,0.678,0.67,0.759,0.665,0.709,0.703,0.748,0.725,0.701
"X.SW...bio_embedding_intrinsic__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Sum",0.663,0.678,0.67,0.759,0.665,0.709,0.703,0.748,0.725,0.701
"X.TOK...PubMed.and.PMC.w2v__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Average",0.628,0.681,0.653,0.718,0.634,0.673,0.665,0.746,0.703,0.677
"X.TOK...PubMed.and.PMC.w2v__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.628,0.681,0.653,0.718,0.634,0.673,0.665,0.746,0.703,0.677
"X.SW...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Average",0.577,0.608,0.592,0.747,0.64,0.69,0.689,0.736,0.711,0.665
"X.SW...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Sum",0.577,0.608,0.592,0.747,0.64,0.69,0.689,0.736,0.711,0.665
"X.TOK...bio_embedding_intrinsic__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Average",0.654,0.673,0.663,0.688,0.644,0.665,0.626,0.695,0.659,0.662
"X.TOK...bio_embedding_intrinsic__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.654,0.673,0.663,0.688,0.644,0.665,0.626,0.695,0.659,0.662
"X.SW...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Average",0.573,0.609,0.59,0.748,0.641,0.691,0.68,0.732,0.705,0.662
"X.SW...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Sum",0.573,0.609,0.59,0.748,0.641,0.691,0.68,0.732,0.705,0.662
"X.SW...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.599,0.633,0.616,0.711,0.638,0.673,0.654,0.746,0.697,0.662
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.599,0.633,0.616,0.711,0.638,0.673,0.654,0.746,0.697,0.662
"X.TOK...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.599,0.633,0.616,0.711,0.638,0.673,0.654,0.746,0.697,0.662
"X.LC...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.599,0.633,0.616,0.711,0.638,0.673,0.654,0.746,0.697,0.662
"X.SW...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.599,0.633,0.616,0.711,0.638,0.673,0.654,0.746,0.697,0.662
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.599,0.633,0.616,0.711,0.638,0.673,0.654,0.746,0.697,0.662
"X.TOK...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.599,0.633,0.616,0.711,0.638,0.673,0.654,0.746,0.697,0.662
"X.LC...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.599,0.633,0.616,0.711,0.638,0.673,0.654,0.746,0.697,0.662
"X.TOK...PubMed.and.PMC.w2v__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Max",0.663,0.663,0.663,0.665,0.587,0.624,0.677,0.708,0.692,0.66
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Average",0.594,0.618,0.606,0.711,0.638,0.672,0.652,0.738,0.692,0.657
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Sum",0.594,0.618,0.606,0.711,0.638,0.672,0.652,0.738,0.692,0.657
"X.TOK...PubMed.and.PMC.w2v__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Average",0.602,0.637,0.619,0.664,0.624,0.643,0.654,0.746,0.697,0.653
"X.TOK...PubMed.and.PMC.w2v__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.602,0.637,0.619,0.664,0.624,0.643,0.654,0.746,0.697,0.653
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Average",0.629,0.657,0.643,0.674,0.648,0.661,0.613,0.69,0.649,0.651
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Sum",0.629,0.657,0.643,0.674,0.648,0.661,0.613,0.69,0.649,0.651
"X.LC...PubMed.and.PMC.w2v__tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none_Average",0.63,0.647,0.638,0.632,0.577,0.604,0.666,0.76,0.71,0.651
"X.LC...PubMed.and.PMC.w2v__tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none_Sum",0.63,0.647,0.638,0.632,0.577,0.604,0.666,0.76,0.71,0.651
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Average",0.619,0.645,0.632,0.678,0.651,0.664,0.613,0.69,0.649,0.648
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Sum",0.619,0.645,0.632,0.678,0.651,0.664,0.613,0.69,0.649,0.648
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Average",0.59,0.605,0.597,0.713,0.641,0.675,0.627,0.711,0.666,0.646
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Sum",0.59,0.605,0.597,0.713,0.641,0.675,0.627,0.711,0.666,0.646
"X.TOK...PubMed.and.PMC.w2v__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Min",0.631,0.632,0.631,0.664,0.578,0.618,0.652,0.674,0.663,0.637
"X.SW...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.577,0.632,0.603,0.672,0.65,0.661,0.607,0.684,0.643,0.636
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.577,0.632,0.603,0.672,0.65,0.661,0.607,0.684,0.643,0.636
"X.TOK...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.577,0.632,0.603,0.672,0.65,0.661,0.607,0.684,0.643,0.636
"X.LC...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.577,0.632,0.603,0.672,0.65,0.661,0.607,0.684,0.643,0.636
"X.SW...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.577,0.632,0.603,0.672,0.65,0.661,0.607,0.684,0.643,0.636
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.577,0.632,0.603,0.672,0.65,0.661,0.607,0.684,0.643,0.636
"X.TOK...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.577,0.632,0.603,0.672,0.65,0.661,0.607,0.684,0.643,0.636
"X.LC...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.577,0.632,0.603,0.672,0.65,0.661,0.607,0.684,0.643,0.636
"X.SW...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.543,0.548,0.545,0.668,0.598,0.631,0.67,0.702,0.686,0.621
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.543,0.548,0.545,0.668,0.598,0.631,0.67,0.702,0.686,0.621
"X.TOK...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.543,0.548,0.545,0.668,0.598,0.631,0.67,0.702,0.686,0.621
"X.LC...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.543,0.548,0.545,0.668,0.598,0.631,0.67,0.702,0.686,0.621
"X.TOK...bio_embedding_intrinsic__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Average",0.584,0.635,0.608,0.575,0.636,0.604,0.607,0.684,0.643,0.619
"X.TOK...bio_embedding_intrinsic__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.584,0.635,0.608,0.575,0.636,0.604,0.607,0.684,0.643,0.619
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none_Average",0.585,0.575,0.58,0.64,0.574,0.605,0.633,0.712,0.67,0.618
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none_Sum",0.585,0.575,0.58,0.64,0.574,0.605,0.633,0.712,0.67,0.618
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Max",0.526,0.52,0.523,0.674,0.611,0.641,0.662,0.707,0.684,0.616
"X.LC...bio_embedding_intrinsic__tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none_Min",0.57,0.571,0.571,0.652,0.649,0.65,0.586,0.665,0.623,0.615
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Max",0.527,0.524,0.526,0.672,0.606,0.638,0.661,0.701,0.68,0.614
"X.TOK...PubMed.and.PMC.w2v__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Max",0.533,0.541,0.537,0.617,0.587,0.601,0.67,0.702,0.686,0.608
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Min",0.517,0.526,0.522,0.671,0.602,0.635,0.649,0.677,0.663,0.606
"X.SW...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.512,0.545,0.528,0.663,0.587,0.622,0.654,0.676,0.665,0.605
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.512,0.545,0.528,0.663,0.587,0.622,0.654,0.676,0.665,0.605
"X.TOK...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.512,0.545,0.528,0.663,0.587,0.622,0.654,0.676,0.665,0.605
"X.LC...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.512,0.545,0.528,0.663,0.587,0.622,0.654,0.676,0.665,0.605
"X.LC...PubMed.and.PMC.w2v__tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none_Max",0.589,0.589,0.589,0.573,0.511,0.54,0.674,0.699,0.686,0.605
"X.LC...bio_embedding_intrinsic__tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none_Max",0.516,0.515,0.515,0.642,0.625,0.633,0.626,0.691,0.657,0.602
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Min",0.509,0.522,0.515,0.666,0.595,0.628,0.65,0.672,0.661,0.602
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none_Average",0.579,0.611,0.595,0.514,0.584,0.547,0.616,0.689,0.651,0.597
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none_Sum",0.579,0.611,0.595,0.514,0.584,0.547,0.616,0.689,0.651,0.597
"X.TOK...BioNLP2016_PubMed.shuffle.win.2__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Min",0.482,0.515,0.498,0.728,0.637,0.679,0.583,0.649,0.614,0.597
"X.SW...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Max",0.494,0.503,0.498,0.674,0.594,0.631,0.654,0.667,0.66,0.597
"X.SW...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Max",0.492,0.505,0.499,0.675,0.595,0.633,0.649,0.665,0.657,0.596
"X.LC...PubMed.and.PMC.w2v__tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none_Min",0.558,0.608,0.582,0.579,0.516,0.546,0.638,0.662,0.65,0.593
"X.TOK...BioNLP2016_PubMed.shuffle.win.2__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Average",0.49,0.552,0.519,0.697,0.621,0.657,0.554,0.647,0.597,0.591
"X.TOK...BioNLP2016_PubMed.shuffle.win.2__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.49,0.552,0.519,0.697,0.621,0.657,0.554,0.647,0.597,0.591
"X.LC...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none_Average",0.518,0.59,0.552,0.587,0.59,0.589,0.571,0.698,0.628,0.589
"X.LC...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none_Sum",0.518,0.59,0.552,0.587,0.59,0.589,0.571,0.698,0.628,0.589
"X.TOK...PubMed.and.PMC.w2v__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Min",0.503,0.535,0.519,0.595,0.574,0.585,0.654,0.676,0.665,0.589
"X.TOK...BioNLP2016_PubMed.shuffle.win.2__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Max",0.498,0.534,0.515,0.722,0.629,0.672,0.542,0.612,0.575,0.587
"X.SW...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Min",0.455,0.5,0.477,0.674,0.591,0.63,0.639,0.655,0.647,0.585
"X.SW...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Min",0.45,0.495,0.471,0.674,0.592,0.63,0.639,0.659,0.649,0.583
"X.LC...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none_Max",0.502,0.555,0.527,0.626,0.566,0.594,0.577,0.641,0.607,0.576
"X.SW...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.443,0.513,0.476,0.685,0.622,0.652,0.548,0.659,0.598,0.575
"X.CF...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.443,0.513,0.476,0.685,0.622,0.652,0.548,0.659,0.598,0.575
"X.TOK...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.443,0.513,0.476,0.685,0.622,0.652,0.548,0.659,0.598,0.575
"X.LC...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.443,0.513,0.476,0.685,0.622,0.652,0.548,0.659,0.598,0.575
"X.SW...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.443,0.513,0.476,0.685,0.622,0.652,0.548,0.659,0.598,0.575
"X.CF...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.443,0.513,0.476,0.685,0.622,0.652,0.548,0.659,0.598,0.575
"X.TOK...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.443,0.513,0.476,0.685,0.622,0.652,0.548,0.659,0.598,0.575
"X.LC...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.443,0.513,0.476,0.685,0.622,0.652,0.548,0.659,0.598,0.575
"X.SW...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.44,0.499,0.468,0.716,0.632,0.671,0.548,0.614,0.579,0.572
"X.CF...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.44,0.499,0.468,0.716,0.632,0.671,0.548,0.614,0.579,0.572
"X.TOK...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.44,0.499,0.468,0.716,0.632,0.671,0.548,0.614,0.579,0.572
"X.LC...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.44,0.499,0.468,0.716,0.632,0.671,0.548,0.614,0.579,0.572
"X.CF...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Average",0.434,0.504,0.466,0.687,0.624,0.654,0.543,0.658,0.595,0.572
"X.CF...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Sum",0.434,0.504,0.466,0.687,0.624,0.654,0.543,0.658,0.595,0.572
"X.SW...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.4,0.425,0.412,0.723,0.642,0.68,0.589,0.644,0.615,0.569
"X.CF...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.4,0.425,0.412,0.723,0.642,0.68,0.589,0.644,0.615,0.569
"X.TOK...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.4,0.425,0.412,0.723,0.642,0.68,0.589,0.644,0.615,0.569
"X.LC...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.4,0.425,0.412,0.723,0.642,0.68,0.589,0.644,0.615,0.569
"X.CF...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Max",0.425,0.492,0.456,0.716,0.633,0.672,0.54,0.606,0.571,0.566
"X.CF...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Max",0.427,0.49,0.457,0.715,0.635,0.673,0.531,0.605,0.566,0.565
"X.CF...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Min",0.381,0.418,0.399,0.722,0.643,0.68,0.58,0.636,0.606,0.562
"X.TOK...BioNLP2016_PubMed.shuffle.win.2__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Average",0.448,0.517,0.48,0.59,0.607,0.598,0.548,0.659,0.598,0.559
"X.TOK...BioNLP2016_PubMed.shuffle.win.2__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.448,0.517,0.48,0.59,0.607,0.598,0.548,0.659,0.598,0.559
"X.CF...PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none_Max",0.407,0.423,0.415,0.591,0.544,0.567,0.681,0.709,0.694,0.559
"X.SW...BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Max",0.384,0.453,0.415,0.716,0.63,0.67,0.576,0.599,0.587,0.558
