Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Average;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Average;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Average
3.4;0.7869894477855669;0.7869894477855669;0.8124830634396857
3.4;0.7695616573041301;0.7695616573041301;0.8057083035381389
3.0;0.4820220152422471;0.4820220152422471;0.5862701475851756
2.0;0.6454264422599147;0.6454264422599147;0.6593421063384647
3.8;0.8159272073046175;0.828496084199265;0.8517920074841087
3.4;0.7409278390304341;0.7372963320483745;0.8362247877205691
2.0;0.5076059702555299;0.5076059702555299;0.6714350785532408
4.0;0.6565342134290612;0.6565342134290612;0.7539307369204196
3.2;0.7402779517717978;0.7402779517717978;0.8058428503538245
2.2;0.3435129898405023;0.3435129898405023;0.5473921945046639
3.0;0.7833254361127406;0.7833254361127406;0.8813313843724018
2.0;0.654097030725743;0.654097030725743;0.7694986164021621
0.6;0.6927942643641334;0.6927942643641334;0.8074286331644567
3.2;0.8549049150499569;0.8549049150499569;0.8586213914214877
3.6;0.8135359416544011;0.8135359416544011;0.8545502106276508
1.0;0.7567391716521366;0.7567391716521366;0.815875924666266
1.8;0.630763650644373;0.630763650644373;0.7513161797627469
2.8;0.7150698333258642;0.7150698333258642;0.7704997255569834
2.8;0.6646533101335496;0.6759769802668351;0.718404230982283
1.8;0.8240065229263556;0.8240065229263556;0.8283465565399093
1.8;0.6284360937942435;0.6284360937942435;0.737112943235881
2.6;0.7486053441237421;0.7486053441237421;0.826962914365565
1.4;0.5658138579601599;0.5658138579601599;0.5691574656931845
3.0;0.6343098560981614;0.6343098560981614;0.6898663182926574
0.6;0.5511486826473884;0.5511486826473884;0.6957343027535585
1.8;0.6746565144088926;0.6746565144088926;0.7168877186680597
3.0;0.7394305722966488;0.7394305722966488;0.8045824686800124
3.0;0.8433582581807438;0.8297270148488941;0.8764865192728292
3.8;0.9112906653531995;0.9112906653531995;0.9280321295448977
2.4;0.803857949076589;0.803857949076589;0.8273139430434775
3.6;0.8459733200962377;0.8459733200962377;0.8816228450210535
2.8;0.679969384799599;0.679969384799599;0.7902952748956961
3.6;0.8616386891786206;0.855619709593448;0.8937066001614024
3.0;0.7572733350360287;0.7591174152259293;0.8304912674415902
0.0;0.3631400486299208;0.3631400486299208;0.5192731768594729
0.0;0.4183688691107153;0.4183688691107153;0.6854632846047721
0.2;0.41290565651681344;0.41290565651681344;0.6254832635638871
0.0;0.4517036026399418;0.5070176712711906;0.7070056315849153
0.2;0.5562378342407373;0.5562378342407373;0.6798837394233456
0.2;0.5826052946681645;0.5826052946681645;0.7233825649005156
1.8;0.6394116933488183;0.6394116933488183;0.6869845848729125
1.4;0.601587536638261;0.6065773048585176;0.7094549869137848
1.8;0.5464093213397224;0.5464093213397224;0.6556692251185965
2.0;0.7225926166617;0.7225926166617;0.8068994468253946
0.0;0.49542965964217356;0.49542965964217356;0.765444077484478
0.8;0.6945896459667187;0.6945896459667187;0.824221313213156
2.2;0.7580578688273466;0.7568791844251517;0.80222860418379
1.4;0.6438154276494406;0.6341013449507918;0.6676751787567091
1.8;0.745552110458564;0.745552110458564;0.8279638774123903
3.0;0.7890375423011001;0.7890375423011001;0.8730767244218086
1.2;0.6876162612113643;0.7199877053567608;0.7728804686148077
0.2;0.40994851250528835;0.40994851250528835;0.5511236672244954
0.2;0.526365038719473;0.526365038719473;0.6819056096966436
0.6;0.4777835623394181;0.4777835623394181;0.6159419485438071
0.2;0.3758413761602874;0.3758413761602874;0.604536399908819
0.2;0.4564256506608625;0.4564256506608625;0.5991045691416571
0.0;0.4763225532217598;0.4917493544895028;0.7000357620357867
0.2;0.2692449995830903;0.2692449995830903;0.4975333119564411
0.2;0.379645968546408;0.379645968546408;0.6161324906032626
2.0;0.5980931768302854;0.5980931768302854;0.627363664290283
2.8;0.8129748984992833;0.8129748984992833;0.8059968783544577
2.0;0.23741197040016082;0.23741197040016082;0.4765718738684675
4.0;0.8962434307616172;0.8962434307616172;0.8602503793995976
3.0;0.7282556622189936;0.7282556622189936;0.7927081373556408
3.2;0.6998526585274338;0.6998526585274338;0.826483179246974
1.6;0.7508768452870209;0.7508768452870209;0.7884590399387066
2.4;0.6786435127546047;0.6786435127546047;0.7937941305724088
3.2;0.723156825875474;0.7193708124482721;0.8014565868876787
1.8;0.3815941516363586;0.3815941516363586;0.4674037931849373
