"","paragram.ws.emb","paragram.sl.emb","glove.emb","fastext.emb","wordnet.randomwalks.emb","cbow.emb","cf.emb","attract.reppel.emb","en_wordsenses_BN.txt.nasari.unified","wordnet.ukb.ppv","sp.500d.emb"
"RW1401",0.550269182039691,0.546753199284072,0.475035411034705,0.484535458826408,0.442774507797204,0.473033382630231,0.21671898189523,0.280671875882165,0.158968667003199,0.397587261723993,0.203389182128974
"SCWS1994",0.69086500383512,0.67991049045719,0.624246547939107,0.651511670785904,0.624684528943535,0.64251820878957,0.611304226200063,0.587154569796721,0.421669270008154,0.557707667533875,0.468870781306158
"Avg_rho",0.676432430670011,0.648039741153156,0.627597585372209,0.619949709757868,0.603936518341693,0.602292374308689,0.562598561527714,0.542885287412053,0.442227628960717,0.537111237610331,0.365409949559572
"MTurk771",0.722346395390909,0.692475318947275,0.709899887833544,0.650961071971897,0.657064513002937,0.660421554319607,0.682925780903607,0.594492017135838,0.502740659789943,0.441731212217168,0.509869835424698
"MTurk287_235",0.701614861118865,0.661551705648594,0.736168887983741,0.718242786929666,0.646453381942522,0.685898139107712,0.634408295713432,0.611774453114386,0.453225520710974,0.417523278051049,0.411306001802582
"WS353Rel",0.693458859666708,0.609077482179876,0.657761852950843,0.669939515036699,0.624643616419197,0.584299955875809,0.616503332187175,0.562939613802412,0.419902722568893,0.448041242844094,0.315011677228047
"Rel122",0.58087556282078,0.540907540970531,0.591331492012344,0.539486559209162,0.516917880432822,0.567997606502959,0.543616732328188,0.465011108946673,0.555143043253382,0.404091199316448,0.420105299982075
"WS353Full",0.718651382166209,0.675763705533913,0.714481270300079,0.717658362850221,0.691359339372004,0.662380860807936,0.645927938243338,0.635789088037008,0.55241608299648,0.401070880175148,0.381653303675087
"MEN",0.775894730006198,0.740259798190383,0.800312297830695,0.758728367806761,0.739396324103793,0.72736726983023,0.709435077973604,0.680919388544007,0.63237383419492,0.469759558650356,0.435949634931619
"YP130",0.694321886125026,0.682218472502984,0.521646331379797,0.513332890561808,0.784354888378887,0.543328701864205,0.659627351524794,0.697770336010578,0.605502824188373,0.630247356183268,0.382932722198483
"RW2034",0.519964816130905,0.514886545054474,0.445310114433208,0.447474889133341,0.258163420800109,0.445091024753999,0.240627838275521,0.294028806598415,0.136584034655448,0.254412415255985,0.18767226771362
"RW1401",0.533520639214882,0.5280889425835,0.469716502799597,0.46716543969138,0.447928629158143,0.460297753006882,0.24983184418749,0.303129158918935,0.162405280183824,0.363852730690704,0.229450283303769
"SCWS1994",0.196801951292763,0.197717347163219,0.181465001349491,0.181808771679805,0.187646475067076,0.181018379384236,0.191635776195899,0.189970775653853,0.140073559794424,0.148220642163538,0.148994762481576
"Avg_h",0.613745108393324,0.584294685877475,0.582809363887334,0.566479865487074,0.555392846867749,0.551810124545357,0.517453996753305,0.50358247467621,0.416036756233666,0.397895051554776,0.342294578874156
