"","paragram.ws.emb+wordnet.randomwalks.emb","attract.reppel.emb+wordnet.randomwalks.emb","cf.emb+wordnet.randomwalks.emb","attract.reppel.emb+paragram.ws.emb","paragram.sl.emb+wordnet.randomwalks.emb","attract.reppel.emb+glove.emb","attract.reppel.emb+paragram.sl.emb","attract.reppel.emb+fastext.emb","attract.reppel.emb+cbow.emb","glove.emb+cf.emb","fastext.emb+cf.emb","paragram.ws.emb+cf.emb","cbow.emb+cf.emb","glove.emb+paragram.sl.emb","paragram.ws.emb+wordnet.ukb.ppv","fastext.emb+paragram.sl.emb","paragram.ws.emb+en_wordsenses_BN.txt.nasari.unified","cbow.emb+paragram.sl.emb","glove.emb+paragram.ws.emb","fastext.emb+paragram.ws.emb","cbow.emb+paragram.ws.emb","sp.500d.emb+paragram.ws.emb","paragram.ws.emb+paragram.sl.emb","attract.reppel.emb+cf.emb","glove.emb+wordnet.randomwalks.emb","paragram.sl.emb+cf.emb","paragram.sl.emb+en_wordsenses_BN.txt.nasari.unified","sp.500d.emb+paragram.sl.emb","cbow.emb+wordnet.randomwalks.emb","cf.emb+en_wordsenses_BN.txt.nasari.unified","paragram.sl.emb+wordnet.ukb.ppv","cf.emb+wordnet.ukb.ppv","attract.reppel.emb+wordnet.ukb.ppv","attract.reppel.emb+en_wordsenses_BN.txt.nasari.unified","fastext.emb+wordnet.randomwalks.emb","attract.reppel.emb+sp.500d.emb","sp.500d.emb+cf.emb","sp.500d.emb+wordnet.randomwalks.emb","glove.emb+en_wordsenses_BN.txt.nasari.unified","cbow.emb+en_wordsenses_BN.txt.nasari.unified","glove.emb+wordnet.ukb.ppv","wordnet.randomwalks.emb+en_wordsenses_BN.txt.nasari.unified","fastext.emb+en_wordsenses_BN.txt.nasari.unified","glove.emb+sp.500d.emb","cbow.emb+wordnet.ukb.ppv","fastext.emb+glove.emb","glove.emb+cbow.emb","fastext.emb+cbow.emb","fastext.emb+wordnet.ukb.ppv","cbow.emb+sp.500d.emb","fastext.emb+sp.500d.emb","wordnet.randomwalks.emb+wordnet.ukb.ppv","sp.500d.emb+en_wordsenses_BN.txt.nasari.unified","wordnet.ukb.ppv+en_wordsenses_BN.txt.nasari.unified","sp.500d.emb+wordnet.ukb.ppv"
"MTurk287_235",0.729,0.699,0.708,0.709,0.712,0.751,0.683,0.732,0.727,0.752,0.735,0.689,0.734,0.753,0.699,0.736,0.647,0.736,0.758,0.745,0.747,0.718,0.689,0.652,0.765,0.663,0.621,0.686,0.751,0.621,0.663,0.641,0.619,0.603,0.736,0.63,0.645,0.69,0.676,0.637,0.744,0.6,0.639,0.733,0.711,0.751,0.743,0.747,0.72,0.697,0.724,0.635,0.536,0.494,0.484
"WS353Rel",0.748,0.683,0.709,0.688,0.71,0.695,0.641,0.707,0.647,0.724,0.718,0.675,0.672,0.721,0.715,0.713,0.649,0.662,0.745,0.741,0.698,0.652,0.666,0.644,0.73,0.622,0.607,0.595,0.676,0.614,0.642,0.646,0.593,0.584,0.736,0.557,0.602,0.594,0.613,0.572,0.676,0.584,0.629,0.622,0.61,0.722,0.667,0.671,0.696,0.553,0.632,0.624,0.464,0.451,0.382
"Rel122",0.637,0.584,0.631,0.587,0.614,0.584,0.558,0.544,0.587,0.616,0.57,0.593,0.604,0.605,0.598,0.579,0.652,0.605,0.606,0.587,0.617,0.595,0.566,0.548,0.649,0.562,0.639,0.579,0.657,0.645,0.562,0.573,0.502,0.617,0.627,0.517,0.572,0.59,0.67,0.657,0.609,0.603,0.646,0.593,0.592,0.588,0.612,0.573,0.559,0.586,0.549,0.519,0.61,0.566,0.463
"WS353Full",0.768,0.728,0.739,0.717,0.749,0.745,0.691,0.742,0.714,0.753,0.742,0.701,0.728,0.759,0.696,0.749,0.717,0.728,0.766,0.758,0.741,0.681,0.708,0.674,0.774,0.671,0.695,0.65,0.732,0.688,0.656,0.633,0.625,0.674,0.767,0.623,0.636,0.643,0.706,0.679,0.698,0.677,0.707,0.667,0.655,0.757,0.722,0.723,0.694,0.627,0.666,0.631,0.579,0.563,0.436
"MEN",0.812,0.769,0.782,0.774,0.796,0.807,0.751,0.784,0.769,0.813,0.79,0.758,0.783,0.82,0.775,0.799,0.78,0.789,0.823,0.805,0.798,0.753,0.767,0.732,0.836,0.732,0.76,0.727,0.789,0.755,0.741,0.717,0.686,0.732,0.806,0.686,0.706,0.713,0.786,0.76,0.805,0.743,0.763,0.773,0.741,0.805,0.798,0.777,0.769,0.724,0.731,0.711,0.675,0.652,0.531
"YP130",0.8,0.807,0.787,0.728,0.795,0.678,0.722,0.681,0.68,0.668,0.67,0.695,0.671,0.668,0.742,0.666,0.746,0.666,0.667,0.671,0.666,0.677,0.697,0.71,0.768,0.682,0.741,0.676,0.768,0.732,0.734,0.714,0.734,0.74,0.749,0.696,0.67,0.757,0.68,0.693,0.678,0.751,0.678,0.526,0.681,0.537,0.547,0.552,0.656,0.546,0.523,0.748,0.624,0.681,0.611
"RW2034",0.44,0.363,0.358,0.495,0.436,0.442,0.492,0.474,0.452,0.421,0.454,0.468,0.434,0.506,0.514,0.533,0.481,0.531,0.502,0.529,0.528,0.5,0.521,0.28,0.401,0.465,0.475,0.497,0.398,0.277,0.509,0.363,0.391,0.31,0.393,0.316,0.278,0.294,0.421,0.411,0.459,0.263,0.408,0.437,0.462,0.486,0.478,0.487,0.459,0.435,0.449,0.266,0.22,0.256,0.312
"RW1401",0.574,0.516,0.499,0.506,0.573,0.46,0.503,0.485,0.463,0.439,0.466,0.48,0.444,0.527,0.551,0.552,0.488,0.547,0.522,0.547,0.543,0.519,0.535,0.289,0.547,0.475,0.481,0.516,0.542,0.3,0.548,0.432,0.455,0.329,0.53,0.339,0.299,0.49,0.437,0.42,0.511,0.402,0.417,0.466,0.506,0.509,0.5,0.505,0.504,0.458,0.475,0.431,0.267,0.33,0.421
"SCWS1994",0.202,0.199,0.202,0.2,0.203,0.196,0.2,0.196,0.194,0.196,0.197,0.197,0.195,0.198,0.183,0.198,0.19,0.196,0.196,0.196,0.195,0.184,0.198,0.196,0.196,0.197,0.191,0.184,0.192,0.19,0.183,0.182,0.178,0.186,0.192,0.18,0.182,0.176,0.178,0.178,0.173,0.179,0.177,0.174,0.171,0.186,0.185,0.184,0.171,0.172,0.173,0.171,0.162,0.158,0.153
"Avg",0.697,0.697,0.696,0.695,0.691,0.688,0.685,0.684,0.68,0.679,0.673,0.672,0.672,0.668,0.667,0.666,0.666,0.665,0.664,0.664,0.664,0.663,0.662,0.661,0.659,0.659,0.657,0.653,0.652,0.651,0.65,0.649,0.648,0.646,0.644,0.64,0.638,0.635,0.622,0.614,0.613,0.606,0.605,0.605,0.602,0.599,0.599,0.595,0.595,0.593,0.593,0.581,0.57,0.534,0.526
